latitude,longitude,NDVI,Temperature,Precipitation,Humidity,Windspeed,is_fire,Year,Month,Day
27.345783,-9.6308365,1117.0,20.88889,0.0,52.5,10.4,0.0,2020,4,6
34.596386,-2.3481107,1521.0,27.333332,0.0,40.9,6.6,1.0,2014,10,21
34.428013,-2.1278148,3108.0,11.5,0.01,44.4,11.3,0.0,2018,4,9
33.910084,-5.4958982,2577.0,19.277777,0.0,49.7,6.8,1.0,2020,9,27
35.411476,-4.7944336,5672.0,24.055557,0.0,67.9,9.6,0.0,2017,6,17
34.59705,-2.3473473,3527.0,13.555556,0.0,44.5,9.3,1.0,2014,3,31
35.725838,-5.3784633,4564.0,34.0,0.0,58.1,12.8,1.0,2020,8,3
34.236347,-2.479866,1780.0,14.0,0.0,45.4,6.3,0.0,2022,3,13
28.547407,-10.604169,1142.0,17.666666,0.0,49.6,8.3,0.0,2019,3,2
31.130463,-4.3306937,922.0,28.88889,0.0,31.1,5.6,0.0,2019,5,29
31.455591,-9.203604,2833.0,20.61111,0.0,49.2,16.2,0.0,2018,5,15
28.660847,-8.843059,1069.0,19.333336,0.0,51.5,14.8,0.0,2018,5,30
33.948757,-5.6338053,1746.0,33.166668,0.0,52.9,6.7,1.0,2020,8,27
35.3077,-3.2351615,2444.0,23.777779,0.0,51.3,8.5,0.0,2013,6,22
32.76937,-6.0945487,3309.0,28.666666,0.0,38.8,5.1,0.0,2013,6,3
28.587854,-10.111401,1143.0,15.388889,0.0,46.0,8.3,0.0,2022,1,7
33.493774,-7.817312,2366.0,18.777779,0.0,60.7,7.3,0.0,2020,11,2
31.489527,-8.251548,1141.0,13.611111,0.0,34.6,3.7,1.0,2020,1,2
31.563965,-8.400268,1220.0,11.666667,0.0,37.7,2.9,0.0,2013,12,3
35.115223,-5.5366364,4298.0,20.388887,0.0,53.6,3.2,1.0,2014,10,27
34.750088,-1.8208021,2009.0,19.38889,0.41,59.9,7.5,1.0,2022,9,27
34.59939,-2.3463035,1659.0,30.38889,0.0,45.1,6.4,1.0,2015,7,10
28.478703,-10.06409,677.0,26.222221,0.0,63.9,10.4,0.0,2020,7,21
35.09046,-3.563898,3415.0,13.722222,0.0,45.6,5.5,0.0,2015,2,15
33.914032,-5.0921335,3171.0,15.944445,0.0,26.0,6.9,0.0,2015,12,18
34.596306,-2.3440256,2225.0,8.222222,0.63,38.3,4.6,1.0,2018,2,12
35.741627,-5.43591,5044.0,34.0,0.0,58.1,12.8,1.0,2020,8,3
35.122936,-5.058161,5024.0,23.777779,0.0,50.2,7.1,1.0,2017,9,19
31.786652,-7.9385295,784.0,22.833334,0.0,58.6,6.2,0.0,2021,9,25
35.038853,-5.700334,4378.0,25.944443,0.0,68.5,5.6,1.0,2022,7,13
31.542242,-6.9450836,2147.0,14.222221,0.02,51.4,2.0,0.0,2020,11,14
31.899221,-5.906383,1661.0,11.833333,0.0,45.9,5.0,0.0,2017,3,14
32.54268,-8.510078,2475.0,28.777779,0.01,65.3,9.8,0.0,2014,8,29
29.507952,-7.335209,854.0,6.9444447,0.0,21.3,1.2,0.0,2013,12,26
31.508976,-8.258802,2403.0,17.5,1.02,55.6,3.2,1.0,2018,5,10
35.578087,-5.795891,4547.0,26.666666,0.0,64.0,23.3,1.0,2020,9,5
27.99759,-11.56127,1033.0,20.111109,0.0,54.8,11.1,0.0,2014,6,21
34.59767,-2.3475187,1506.0,16.944445,0.0,52.4,8.5,1.0,2017,11,5
28.251593,-10.180525,901.0,18.0,0.0,50.8,13.1,0.0,2018,4,4
27.820347,-11.325904,894.0,16.944445,0.0,51.0,15.0,0.0,2018,3,31
34.593845,-2.3478594,1349.0,24.5,0.0,59.1,6.4,1.0,2019,9,7
33.763084,-5.691629,2649.0,19.888891,0.01,56.1,4.1,1.0,2014,9,30
34.266632,-4.0130606,1528.0,23.833334,0.0,54.2,4.9,1.0,2016,10,10
30.9744,-6.239224,1287.0,29.777779,0.0,17.7,6.0,0.0,2022,7,2
33.3816,-7.7691092,5832.0,12.111111,0.02,43.0,4.0,0.0,2020,1,30
33.985245,-1.7691373,1366.0,22.611109,0.0,62.7,8.6,0.0,2017,6,11
35.269737,-5.420926,5862.0,34.72222,0.0,45.3,7.0,1.0,2022,7,26
34.59515,-2.3464,1627.0,27.444445,0.0,61.9,6.2,1.0,2013,8,5
35.093975,-3.5065882,3437.0,16.38889,0.0,46.9,6.9,0.0,2019,4,28
35.065956,-5.7391,4378.0,28.88889,0.0,68.4,7.0,1.0,2022,7,14
31.42771,-4.251807,1067.0,28.88889,0.08,48.9,9.1,1.0,2014,9,1
34.595833,-2.3441715,3677.0,15.833333,0.0,56.7,9.6,1.0,2018,5,8
27.767334,-11.533935,1082.0,19.055557,0.0,58.4,16.3,0.0,2014,6,12
30.436644,-6.8881536,948.0,27.666668,0.0,30.6,3.8,0.0,2019,9,30
33.854836,-4.8583884,2972.0,20.0,0.0,56.0,5.0,1.0,2016,10,23
34.595676,-2.3491845,1809.0,26.666666,0.0,68.5,7.0,1.0,2016,7,11
31.46156,-9.152134,1587.0,21.166666,0.0,64.5,3.4,0.0,2019,10,12
28.501404,-9.654301,919.0,18.166664,0.0,29.6,15.2,0.0,2016,12,28
35.28531,-5.6887317,5980.0,21.277779,0.0,53.3,6.6,1.0,2022,5,10
35.39628,-5.7433023,4538.0,21.722221,0.0,63.1,3.9,0.0,2017,6,23
30.21853,-9.149776,1238.0,22.222221,0.0,61.7,6.5,1.0,2019,8,21
34.601067,-2.377948,1872.0,21.88889,0.0,59.9,8.3,1.0,2018,6,21
28.614332,-10.0806,1160.0,16.444445,0.0,28.3,8.2,0.0,2016,12,23
32.44668,-8.595915,2334.0,29.5,0.0,64.9,6.8,1.0,2019,8,31
33.90788,-5.4934196,3725.0,21.222221,0.0,53.1,5.2,1.0,2013,6,22
30.336697,-7.510574,1172.0,28.722221,0.0,33.7,4.9,0.0,2020,5,27
30.219278,-9.154051,1230.0,23.055555,0.0,66.2,7.5,1.0,2020,7,16
35.165962,-5.1399937,5467.0,32.444443,0.0,60.4,4.8,1.0,2015,7,14
34.1056,-6.7677746,2738.0,21.61111,0.0,63.8,4.2,1.0,2021,8,29
35.137993,-5.0661936,4914.0,18.999998,0.0,50.6,6.8,1.0,2021,10,23
32.09071,-6.4822893,3823.0,31.38889,0.0,66.8,4.2,0.0,2013,8,3
35.644367,-5.903588,3275.0,20.5,0.0,61.0,7.5,1.0,2020,10,12
32.450966,-4.2901616,1584.0,5.9444447,0.0,32.4,21.8,0.0,2014,12,17
28.43256,-9.04037,1086.0,13.166667,0.0,43.8,8.1,0.0,2021,1,2
31.640081,-4.371354,1245.0,7.611111,0.0,22.8,2.8,0.0,2022,1,16
33.9407,-5.506481,2370.0,20.722223,0.0,51.0,4.4,1.0,2015,8,16
35.32679,-5.733499,5508.0,14.388889,0.0,49.0,6.0,1.0,2013,12,15
35.747105,-5.4182324,5044.0,32.72222,0.0,68.8,5.7,1.0,2020,8,2
33.72151,-5.3685236,3105.0,27.166666,0.0,58.8,5.3,1.0,2018,9,25
33.763184,-5.559323,2854.0,15.388889,0.0,33.4,4.5,1.0,2013,11,2
35.602955,-5.837935,3691.0,18.88889,0.0,49.7,9.8,1.0,2013,10,30
30.367914,-9.47337,2184.0,16.277779,0.0,54.2,3.9,1.0,2017,12,18
32.067463,-6.8046927,2383.0,17.0,0.0,45.2,1.6,0.0,2013,11,1
34.893032,-2.7704659,1897.0,25.222221,0.0,65.6,7.3,0.0,2013,8,12
30.379356,-6.987161,1155.0,31.166666,0.0,20.8,7.4,0.0,2019,7,3
31.83834,-8.978694,1479.0,23.166664,0.0,60.5,7.0,0.0,2019,6,5
30.326233,-6.887342,1800.0,7.5,0.0,18.2,8.2,0.0,2015,1,21
31.849611,-6.0204554,2381.0,12.555554,0.0,29.7,2.4,0.0,2019,1,13
34.074886,-5.6451364,2360.0,23.500002,0.0,65.0,6.3,1.0,2021,8,25
